Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
339,2009-02-24,30.253225326538086,30.549826845687416,27.023578494884337,28.53953585513293,9913081
340,2009-02-25,30.170835494995117,31.620882108598575,29.857757985391466,30.582780174721737,7821109
341,2009-02-26,30.615745544433594,30.7805234642325,29.511732587803493,30.30266570886081,9451371
342,2009-02-27,31.93396759033203,33.120369458100214,30.022543352235946,30.154364788679754,35406885
343,2009-03-02,30.450960159301758,31.15950414675355,30.022537225867712,30.31913651481427,9682882
344,2009-03-03,29.363431930541992,30.81347668257615,29.165697539381195,30.615744526358856,6218930
345,2009-03-04,30.170835494995117,30.467437005364037,29.495245773254872,29.923668687159143,6597422
346,2009-03-05,30.220273971557617,30.599264493230002,29.758896732501128,30.599264493230002,6109769
347,2009-03-06,30.500398635864258,30.61574406813895,29.66003083842375,29.758898032524424,3962742
348,2009-03-09,29.97310447692871,30.64869427355044,29.69298340463211,30.64869427355044,2964226
349,2009-03-12,30.846426010131836,31.126549293528118,30.02253662948745,30.96177141739924,6091612
350,2009-03-13,31.274850845336914,31.472582967803344,30.51687212185782,31.30780508160976,6329765
351,2009-03-16,31.60439682006836,31.83508534223517,30.56629511790407,31.47257321101416,8232474
352,2009-03-17,31.736228942871094,32.230562615628926,31.34076245165346,31.81861788833073,4981205
353,2009-03-18,31.50554847717285,32.41182711122621,28.3418112606818,28.3418112606818,4007849
354,2009-03-19,31.703269958496094,31.884523823412316,30.319134094076162,30.319134094076162,3286397
355,2009-03-20,31.835094451904297,32.08226127529791,31.324282569902206,31.620884098940387,3154546
356,2009-03-23,32.362396240234375,32.62603915897946,31.571460779167495,31.620895502640103,7034396
357,2009-03-24,32.42829895019531,33.00502160347477,31.96691948660575,32.790808991290696,7551877
358,2009-03-25,31.98339080810547,32.62602403581821,31.52201367922012,32.148168673413494,5666796
359,2009-03-26,31.719749450683594,32.939107583154026,31.077116148535424,32.939107583154026,9588411
360,2009-03-27,31.159509658813477,32.131698872275706,30.879388555242823,32.131698872275706,6291705
361,2009-03-30,31.159509658813477,31.868056006548837,28.83614070125566,31.868056006548837,4842258
362,2009-03-31,31.50554847717285,32.23057093742678,29.676512968730954,32.23057093742678,7683950
363,2009-04-01,30.30266761779785,32.92263849560216,30.154367927625312,32.92263849560216,7321541
364,2009-04-02,30.846426010131836,31.307803169315495,30.533348492475564,30.945293182797755,9185217
365,2009-04-06,30.483922958374023,31.423158028812,30.26971254894821,30.978256735458505,6958026
366,2009-04-08,32.0987434387207,32.52716643202151,29.49525123939633,30.15436284910731,16888845
367,2009-04-09,31.620887756347656,33.252188532440144,31.390196906543135,32.79080906777443,7959989
368,2009-04-13,31.192461013793945,32.13169359737959,30.731081604627388,31.802137834379067,6786405
369,2009-04-15,31.9998779296875,32.21408832010839,30.97825398704145,30.97825398704145,9517190
370,2009-04-16,31.175979614257812,32.560113231380235,30.895856350162983,32.42829183353727,16019178
371,2009-04-17,32.13169479370117,33.48287436628739,31.011206051758798,31.901006198000463,24728264
372,2009-04-20,33.58175277709961,34.24086454807707,31.489072010268618,33.25219689161088,20235831
373,2009-04-21,32.95559310913086,33.69709375294138,32.6589915106405,33.416970393524416,8757532
374,2009-04-22,31.85157012939453,33.74651562324555,31.390190755143333,33.74651562324555,10270548
375,2009-04-23,32.97205352783203,33.2356985235543,31.324275098246027,32.115210085412826,7645123
376,2009-04-24,32.97205352783203,33.4828652879922,32.32942038728199,33.416954597797265,4953362
377,2009-04-27,31.88452911376953,32.95558765702339,31.65384050973742,32.95558765702339,6298942
378,2009-04-28,30.319133758544922,32.593069628539354,30.154355894122553,32.247035666263805,8020828
379,2009-04-29,30.516868591308594,31.143023592426005,30.055489222378473,30.945291492835544,10317407
380,2009-04-30,30.516868591308594,30.516868591308597,30.516868591308597,30.516868591308597,0
381,2009-05-04,30.99472999572754,31.60440911683119,30.829952096504204,31.25837508147353,6346688
382,2009-05-05,31.620887756347656,31.96691956116779,30.813474251918485,31.30780795588247,10754066
383,2009-05-06,31.752708435058594,32.4942089735284,31.390196166718273,31.950442805961185,8162872
384,2009-05-07,31.9998779296875,32.26352303439714,31.472587720268226,31.966921453494997,6552316
385,2009-05-08,32.0822639465332,33.28514392816891,31.505541310595653,31.966918525368396,16052278
386,2009-05-11,32.0822639465332,32.939109899617726,31.8680535757337,31.999874998542126,8177989
387,2009-05-12,33.35105514526367,33.49935480690758,31.686797923620666,32.39534199311006,9045014
388,2009-05-13,32.69194030761719,33.7629965414701,32.37886054361343,33.61469689454062,8210662
389,2009-05-14,32.74137496948242,33.44992125103166,31.884529031078802,32.922631098945864,7465672
390,2009-05-15,33.26866149902344,33.581739014946464,32.72489316984274,32.7908038729408,5990389
391,2009-05-18,38.57451248168945,39.54670385292572,35.62499083468204,37.56936910726808,170650
392,2009-05-19,38.904056549072266,40.831958239101375,35.26246794448351,37.56935778591335,19037417
393,2009-05-20,39.1512336730957,42.84226018359492,36.91025616521952,40.53536973200448,10704619
394,2009-05-21,38.70633316040039,40.86492151236955,38.4097294125938,39.51374205752422,11495294
395,2009-05-22,39.118289947509766,40.46946982043498,38.393265292802404,39.18419843528218,8524108
396,2009-05-25,38.42622756958008,39.546716729648885,37.964850206009146,39.530240722691616,5914983
397,2009-05-26,35.509647369384766,38.77224898541347,34.73519032404235,38.72281650802709,11328948
398,2009-05-27,36.15227127075195,37.569361325263465,35.50963805851498,36.25113843454444,9833643
399,2009-05-28,36.91026306152344,37.53641826425425,35.31191634173812,36.91026306152344,18047010
400,2009-05-29,37.882442474365234,38.22847420823757,37.09150736922435,37.569362738091606,12795881
401,2009-06-01,39.57965850830078,39.81034486943467,37.66823232668212,38.854634013568486,13519274
402,2009-06-02,39.23362350463867,40.76606148660086,38.294393089741114,39.87625907577678,10664555
403,2009-06-03,41.39221954345703,41.68881887829127,38.88759449507071,39.87626192444267,19445390
404,2009-06-04,41.359249114990234,41.82062619906345,40.10693924823648,41.688804813597564,11373782
405,2009-06-05,41.21096420288086,42.34792902518766,40.48593965860006,41.82063885388222,13240784
406,2009-06-08,39.85977554321289,41.9359748163382,39.101794696125516,41.194474437381224,8283946
407,2009-06-09,39.892738342285156,40.35411553512172,38.34382440574139,39.77739292660445,6301719
408,2009-06-10,40.3046875,41.42517636878798,39.74444083066262,41.42517636878798,5514227
409,2009-06-11,40.403541564941406,41.359252269826115,39.94216444567488,41.177998409720345,8425194
410,2009-06-12,39.958648681640625,40.93084005506747,38.92054883180858,40.53537131709026,8819990
411,2009-06-15,40.18933868408203,40.766061307481955,39.052369438567624,40.766061307481955,6088490
